  86	4.25e-02	1.181946	1.164966	-11.897005	-13.045188
  87	4.30e-02	1.196747	1.197274	-11.857984	-13.038475
  88	4.35e-02	1.212006	1.228742	-11.817285	-13.029244
  89	4.40e-02	1.224136	1.263987	-11.744278	-12.991482
  90	4.45e-02	1.239395	1.294617	-11.696445	-12.974279
  91	4.50e-02	1.252441	1.316015	-11.664138	-12.963370
  92	4.55e-02	1.266785	1.367204	-11.611270	-12.961691
  93	4.60e-02	1.278992	1.412099	-11.561760	-12.957076
  94	4.65e-02	1.295166	1.434337	-11.500081	-12.917635
  95	4.70e-02	1.307449	1.461610	-11.455606	-12.900433
  96	4.75e-02	1.321106	1.487204	-11.407354	-12.877775
  97	4.80e-02	1.334839	1.536295	-11.355746	-12.875258
  98	4.85e-02	1.350327	1.581190	-11.301620	-12.866027
  99	4.90e-02	1.364059	1.610981	-11.246235	-12.840432
 100	4.95e-02	1.377487	1.638673	-11.190850	-12.812740
 101	5.00e-02	1.390915	1.670142	-11.144277	-12.797635
 102	5.05e-02	1.404266	1.714617	-11.088892	-12.786726
 103	5.10e-02	1.420059	1.750281	-11.019242	-12.752740
 104	5.15e-02	1.434326	1.786785	-10.966794	-12.736796
 105	5.20e-02	1.446457	1.812799	-10.922319	-12.718334
 106	5.25e-02	1.460114	1.866086	-10.856864	-12.706167
 107	5.30e-02	1.475220	1.900491	-10.780920	-12.664628
 108	5.35e-02	1.489487	1.923568	-10.723437	-12.630222
 109	5.40e-02	1.502838	1.960072	-10.666374	-12.609663
 110	5.45e-02	1.516953	1.988603	-10.606794	-12.578614
 111	5.50e-02	1.533203	2.045666	-10.545115	-12.573999
 112	5.55e-02	1.544342	2.080492	-10.473367	-12.537076
 113	5.60e-02	1.558456	2.104827	-10.406654	-12.494698
 114	5.65e-02	1.574783	2.138394	-10.345815	-12.467425
 115	5.70e-02	1.586380	2.178254	-10.277842	-12.439313
 116	5.75e-02	1.601639	2.218534	-10.205255	-12.407005
 117	5.80e-02	1.614990	2.258394	-10.126793	-12.368404
 118	5.85e-02	1.629410	2.291121	-10.063017	-12.337355
 119	5.90e-02	1.644058	2.326366	-10.008052	-12.317635
 120	5.95e-02	1.658096	2.374618	-9.917423	-12.275257
 121	6.00e-02	1.671066	2.402310	-9.836443	-12.221970
 122	6.05e-02	1.685410	2.427905	-9.766373	-12.177495
 123	6.10e-02	1.699448	2.477835	-9.693786	-12.154837
 124	6.15e-02	1.713333	2.513499	-9.613646	-12.110362
 125	6.20e-02	1.726990	2.573080	-9.534345	-12.090642
 126	6.25e-02	1.740875	2.594898	-9.444135	-12.022250
 127	6.30e-02	1.754684	2.620073	-9.363156	-11.966446
 128	6.35e-02	1.769104	2.661611	-9.278401	-11.923229
 129	6.40e-02	1.783371	2.706506	-9.190289	-11.880012
 130	6.45e-02	1.796341	2.749723	-9.106373	-11.839313
 131	6.50e-02	1.812363	2.786646	-9.004415	-11.774278
 132	6.55e-02	1.824722	2.815178	-8.925533	-11.723928
 133	6.60e-02	1.839142	2.859653	-8.823575	-11.666445
 134	6.65e-02	1.853180	2.899094	-8.710288	-11.592599
 135	6.70e-02	1.867981	2.928884	-8.620079	-11.532179
 136	6.75e-02	1.880417	2.969583	-8.528190	-11.480991
 137	6.80e-02	1.894608	3.018674	-8.419099	-11.420990
 138	6.85e-02	1.911011	3.062730	-8.304554	-11.350501
 139	6.90e-02	1.925049	3.105528	-8.192945	-11.281690
 140	6.95e-02	1.939011	3.126926	-8.077980	-11.188123
 141	7.00e-02	1.952591	3.161751	-7.963435	-11.108403
 142	7.05e-02	1.966400	3.212521	-7.848050	-11.043787
 143	7.10e-02	1.979980	3.261192	-7.722176	-10.966584
 144	7.15e-02	1.994629	3.298115	-7.598399	-10.879731
 145	7.20e-02	2.008286	3.332101	-7.465392	-10.780710
 146	7.25e-02	2.022324	3.368605	-7.348329	-10.700151
 147	7.30e-02	2.036819	3.407206	-7.201895	-10.592318
 148	7.35e-02	2.051010	3.453780	-7.042455	-10.479451
 149	7.40e-02	2.063293	3.485668	-6.909867	-10.378752
 150	7.45e-02	2.076874	3.523430	-6.771825	-10.278472
 151	7.50e-02	2.091980	3.578815	-6.617419	-10.179451
 152	7.55e-02	2.105865	3.613220	-6.448748	-10.045185
 153	7.60e-02	2.119293	3.653920	-6.285531	-9.922667
 154	7.65e-02	2.131882	3.676158	-6.124831	-9.784206
 155	7.70e-02	2.145615	3.718955	-5.956999	-9.659171
 156	7.75e-02	2.161179	3.780633	-5.778258	-9.542107
 157	7.80e-02	2.176208	3.821333	-5.590705	-9.395254
 158	7.85e-02	2.189865	3.851962	-5.403152	-9.238331
 159	7.90e-02	2.204208	3.893081	-5.204691	-9.080988
 160	7.95e-02	2.218170	3.937556	-5.002033	-8.922806
 161	8.00e-02	2.231293	3.981193	-4.777977	-8.742386
 162	8.05e-02	2.245407	4.021473	-4.555599	-8.560288
 163	8.10e-02	2.260208	4.063850	-4.354200	-8.401267
 164	8.15e-02	2.274475	4.107487	-4.121752	-8.212456
 165	8.20e-02	2.287140	4.157417	-3.869165	-8.009798
 166	8.25e-02	2.301559	4.188885	-3.619514	-7.791616
 167	8.30e-02	2.315369	4.224130	-3.366087	-7.573434
 168	8.35e-02	2.329254	4.269025	-3.102171	-7.354413
 169	8.40e-02	2.343521	4.314340	-2.831541	-7.129098
 170	8.45e-02	2.357788	4.368466	-2.544968	-6.896650
 171	8.50e-02	2.372055	4.400354	-2.254198	-6.637769
 172	8.55e-02	2.386627	4.438536	-1.954617	-6.376370
 173	8.60e-02	2.399826	4.471263	-1.648323	-6.102803
 174	8.65e-02	2.413406	4.521193	-1.328603	-5.833013
 175	8.70e-02	2.427368	4.566508	-0.987903	-5.537628
 176	8.75e-02	2.443161	4.612242	-0.659791	-5.255250
 177	8.80e-02	2.454071	4.651263	-0.332937	-4.967418
 178	8.85e-02	2.467957	4.694480	0.008182	-4.669515
 179	8.90e-02	2.482986	4.739375	0.390000	-4.332592
 180	8.95e-02	2.497864	4.770844	0.755036	-3.999025
 181	9.00e-02	2.509079	4.812382	1.111679	-3.683920
 182	9.05e-02	2.525177	4.868606	1.494757	-3.357066
 183	9.10e-02	2.540207	4.916858	1.889163	-3.010912
 184	9.15e-02	2.553635	4.966788	2.278953	-2.671052
 185	9.20e-02	2.567444	4.995320	2.677136	-2.301401
 186	9.25e-02	2.580872	5.029725	3.076157	-1.936785
 187	9.30e-02	2.595062	5.086369	3.468045	-1.601540
 188	9.35e-02	2.608032	5.136299	3.873780	-1.245736
 189	9.40e-02	2.624359	5.177418	4.279095	-0.881539
 190	9.45e-02	2.637558	5.218956	4.688606	-0.513567
 191	9.50e-02	2.651520	5.254621	5.082173	-0.155664
 192	9.55e-02	2.663727	5.304970	5.503432	0.215245
 193	9.60e-02	2.678833	5.351124	5.911684	0.577343
 194	9.65e-02	2.693939	5.377138	6.309027	0.948672
 195	9.70e-02	2.707520	5.433362	6.690007	1.273428
 196	9.75e-02	2.720184	5.488327	7.080636	1.609093
 197	9.80e-02	2.734070	5.531544	7.475042	1.960282
 198	9.85e-02	2.749023	5.573502	7.861896	2.305177
 199	9.90e-02	2.762985	5.604132	8.234903	2.647555
 200	9.95e-02	2.776413	5.655320	8.593225	2.954688
 201	1.00e-01	2.790222	5.708607	8.961198	3.269374
 202	1.01e-01	2.803955	5.758957	9.310289	3.568115
 203	1.01e-01	2.820053	5.801334	9.662317	3.877766
 204	1.02e-01	2.834473	5.838677	10.005954	4.184060
 205	1.02e-01	2.847824	5.886090	10.321898	4.452592
 206	1.02e-01	2.860947	5.930146	10.661339	4.747977
 207	1.03e-01	2.876663	5.978398	10.986934	5.025320
 208	1.03e-01	2.889709	6.019936	11.273088	5.269935
 209	1.04e-01	2.902603	6.069027	11.568473	5.516229
 210	1.04e-01	2.917633	6.125670	11.867634	5.758747
 211	1.05e-01	2.931213	6.162174	12.156725	6.011335
 212	1.05e-01	2.946854	6.207489	12.429873	6.239167
 213	1.06e-01	2.959671	6.239796	12.689174	6.466160
 214	1.06e-01	2.973862	6.298957	12.948055	6.665881
 215	1.07e-01	2.988815	6.357699	13.196866	6.855951
 216	1.07e-01	3.003159	6.399237	13.441902	7.059448
 217	1.08e-01	3.015060	6.434902	13.671412	7.253294
 218	1.08e-01	3.029404	6.480216	13.902182	7.438749
 219	1.09e-01	3.044281	6.528049	14.114070	7.602805
 220	1.10e-01	3.057022	6.577979	14.345259	7.784064
 221	1.10e-01	3.071823	6.624133	14.552113	7.944763
 222	1.11e-01	3.084869	6.672804	14.733791	8.077770
 223	1.11e-01	3.098526	6.730706	14.929735	8.215812
 224	1.12e-01	3.114090	6.775182	15.126938	8.368540
 225	1.12e-01	3.127289	6.805811	15.314071	8.525044
