time,Phi,I_L,IR,I,M,B,V
0,0,0,0,3,0,0,0
2.00267022696929e-07,6.01956490275737e-09,-0.00978245137868461,3.00978245137868,3,4800,0.00601956490275737,0.0300978245137868
4.00534045393858e-07,1.07695613617743e-08,0.625001770491548,2.37499822950845,3,7945.14285714286,0.0107695613617743,0.0237499822950845
6.00801068090788e-07,1.6850092285926e-08,-0.0402654620758707,3.04026546207587,3,13449.1428571429,0.016850092285926,0.0304026546207587
8.01068090787717e-07,2.26361353610901e-08,0.10697846241797,2.89302153758203,3,17906.2857142857,0.0226361353610901,0.0289302153758203
1.00133511348465e-06,2.87107308592359e-08,-0.0372977490729149,3.03729774907291,3,22884.5714285714,0.0287107308592359,0.0303729774907292
1.20160213618158e-06,3.34078749954441e-08,0.651427931895895,2.3485720681041,3,25933.7142857143,0.0334078749954441,0.023485720681041
1.4018691588785e-06,3.95738503224627e-08,-0.0829876635093072,3.08298766350931,3,31574.8571428571,0.0395738503224627,0.0308298766350931
1.60213618157543e-06,4.48636712701277e-08,0.355089526167523,2.64491047383248,3,35346.2857142857,0.0448636712701277,0.0264491047383248
1.80240320427236e-06,5.09619947199281e-08,-0.0491617249002143,3.04916172490021,3,40603.4285714286,0.0509619947199281,0.0304916172490021
2.00267022696929e-06,5.69171890945825e-08,0.0224028126728046,2.9775971873272,3,45270.8571428571,0.0569171890945825,0.029775971873272
2.20293724966622e-06,6.25137506070971e-08,0.201719243742717,2.79828075625728,3,49545.1428571429,0.0625137506070971,0.0279828075625728
2.40320427236315e-06,6.79613427700101e-08,0.276203918543462,2.72379608145654,3,53805.7142857143,0.0679613427700101,0.0272379608145654
2.60347129506008e-06,7.21872286548724e-08,0.88705705756888,2.11294294243112,3,56557.7142857143,0.0721872286548724,0.0211294294243112
2.80373831775701e-06,7.53525276238826e-08,1.41735051549488,1.58264948450512,3,58546.2857142857,0.0753525276238826,0.0158264948450512
3.00400534045394e-06,8.09909136555227e-08,0.180806984179947,2.81919301582005,3,64269.7142857143,0.0809909136555227,0.0281919301582005
3.20427236315087e-06,8.56961353495323e-08,0.647389152995207,2.35261084700479,3,67547.4285714286,0.0856961353495323,0.0235261084700479
3.4045393858478e-06,9.13113393916648e-08,0.192397978933781,2.80760202106622,3,72470.8571428571,0.0913113393916648,0.0280760202106622
3.60480640854473e-06,9.45646842599772e-08,1.37332756584378,1.62667243415622,3,73878.8571428571,0.0945646842599772,0.0162667243415622
3.80507343124166e-06,9.74323241710943e-08,1.56618004444143,1.43381995555857,3,75968,0.0974323241710943,0.0143381995555857
